Nickname,Defender Score,Attacker Score,Time (sec),Winner,Level
Wisani Nkuna,9,4,184,Defender,Intermediate
Wisani Nkuna,8,4,176,Defender,Intermediate
Wisani Nkuna,6,7,335,Attacker,Beginner
Wisani Nkuna,5,8,288,Attacker,Beginner
Wisani Nkuna,8,5,239,Defender,Beginner
Wisani Nkuna,9,3,233,Defender,Beginner
Wisani Nkuna,9,4,213,Defender,Beginner
Wisani Nkuna,4,9,177,Attacker,Beginner
Wisani Nkuna,6,7,153,Attacker,Beginner
Wisani Nkuna,4,9,115,Attacker,Beginner
Peanut,7,6,1738,Defender,Beginner
CreativeMp,8,4,271,Defender,Beginner
cyber ranger,5,8,190,Attacker,Beginner
Superman,6,7,159,Attacker,Beginner
DragonFly,5,8,122,Attacker,Beginner
PyTechie,7,6,141,Defender,Expert
DR MIKE,7,6,139,Defender,Expert
Classof2024,7,6,128,Defender,Expert
INF791,8,5,123,Defender,Expert
In the Cloud,6,7,222,Attacker,Beginner
WINNER,4,9,141,Attacker,Beginner
CodeCobra,6,7,139,Attacker,Beginner
Student,6,7,136,Attacker,Beginner
Last One Standing,6,7,123,Attacker,Beginner
HonsINF,5,8,123,Attacker,Beginner
Me,5,8,111,Attacker,Beginner
iets snaaks,7,6,127,Defender,Expert
FrogsHop,7,6,162,Defender,Intermediate
TaurusBae,6,7,322,Attacker,Beginner
TheBull,6,7,186,Attacker,Beginner
Ladybug,6,7,143,Attacker,Beginner
BaeBull,6,7,131,Attacker,Beginner
BirdsFly,6,7,120,Attacker,Beginner
Taurus,4,8,114,Attacker,Beginner
Die Slang,3,10,99,Attacker,Beginner
Bull Perhaps,5,8,85,Attacker,Beginner
Taurus,4,9,84,Attacker,Beginner
Butterflyfingers,9,4,153,Defender,Expert
Butterflyfingers,7,6,148,Defender,Expert
Butterflyfingers,10,3,146,Defender,Expert
Butterflyfingers,9,4,143,Defender,Expert
Butterflyfingers,8,5,129,Defender,Expert
Butterflyfingers,8,5,117,Defender,Expert
Butterflyfingers,9,4,114,Defender,Expert
Butterflyfingers,10,3,113,Defender,Expert
Butterflyfingers,11,2,109,Defender,Expert
Butterflyfingers,8,5,161,Defender,Intermediate
Butterflyfingers,6,7,242,Attacker,Beginner
Unati,10,3,199,Defender,Intermediate
Unati,9,4,184,Defender,Intermediate
Unati,8,5,162,Defender,Intermediate
Unati,8,5,507,Defender,Beginner
Unati,8,5,409,Defender,Beginner
Unati,6,6,292,Draw,Beginner
Unati,9,4,283,Defender,Beginner
Unati,9,4,264,Defender,Beginner
Unati,9,4,252,Defender,Beginner
Unati,7,6,228,Defender,Beginner
Unati,8,5,202,Defender,Beginner
Tendani,7,6,129,Defender,Expert
Mike,7,6,125,Defender,Expert
Dani,7,6,60,Defender,Expert
Tendani,3,10,182,Attacker,Beginner
Reggie,6,7,160,Attacker,Beginner
Mike,6,7,118,Attacker,Beginner
Dani,1,12,110,Attacker,Beginner
Jerry,5,8,101,Attacker,Beginner
Tendani,3,10,97,Attacker,Beginner
Tendani,5,8,94,Attacker,Beginner
Jerry,5,7,92,Attacker,Beginner
Vuvu,6,7,234,Attacker,Beginner
VuyiTesting,5,8,181,Attacker,Beginner
Vuyi,3,10,175,Attacker,Beginner
Vuyelwa,5,8,121,Attacker,Beginner
Amanda,7,6,154,Defender,Expert
Amanda,8,5,142,Defender,Expert
Amanda,11,2,138,Defender,Expert
Amanda,9,4,136,Defender,Expert
Amanda,9,4,129,Defender,Expert
Amanda,8,5,124,Defender,Expert
Amanda,8,4,120,Defender,Expert
Amanda,10,3,105,Defender,Expert
Amanda,8,4,101,Defender,Expert
Amanda,9,3,80,Defender,Expert
Amanda,9,4,191,Defender,Intermediate
Amanda,7,6,154,Defender,Expert
Amanda,8,5,142,Defender,Expert
Amanda,11,2,138,Defender,Expert
Amanda,9,4,136,Defender,Expert
